,MV (50d),BL (50d),MV (80d),BL (80d),MV (100d),BL (100d),MV (120d),BL (120d),MV (150d),BL (150d),EQW,^DJI,SPY
All-time (ann.),0.09,0.07,0.11,0.07,0.08,0.07,0.09,0.07,0.09,0.06,0.07,0.06,0.08
Best Day,0.15,0.14,0.16,0.14,0.15,0.14,0.15,0.14,0.13,0.14,0.15,0.11,0.15
Worst Day,-0.11,-0.11,-0.15,-0.11,-0.13,-0.11,-0.12,-0.11,-0.12,-0.11,-0.12,-0.13,-0.11
Best Month,0.2,0.16,0.19,0.16,0.26,0.17,0.23,0.16,0.26,0.18,0.16,0.14,0.13
Worst Month,-0.17,-0.23,-0.22,-0.23,-0.17,-0.22,-0.19,-0.22,-0.22,-0.23,-0.25,-0.14,-0.17
Best Year,0.6,0.54,0.69,0.56,0.68,0.57,0.67,0.58,0.65,0.59,0.57,0.26,0.32
Worst Year,-0.34,-0.43,-0.26,-0.42,-0.38,-0.42,-0.44,-0.41,-0.4,-0.42,-0.44,-0.34,-0.37
Avg. Drawdown,-0.04,-0.03,-0.03,-0.03,-0.04,-0.03,-0.04,-0.03,-0.03,-0.03,-0.03,-0.02,-0.02
Avg. Drawdown Days,62,52,47,51,70,50,61,52,62,52,55,46,32
Recovery Factor,-,-,-,-,-,-,-,-,-,-,-,-,-
Ulcer Index,0.16,0.15,0.14,0.15,0.21,0.15,0.21,0.15,0.27,0.15,0.16,0.14,0.17
Serenity Index,0.67,0.6,1.05,0.59,0.41,0.59,0.42,0.57,0.26,0.56,0.59,0.58,0.56
Avg. Up Month,0.05,0.05,0.05,0.05,0.06,0.05,0.06,0.05,0.06,0.05,0.05,0.04,0.04
Avg. Down Month,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.04,-0.04
Win Days,0.54,0.53,0.54,0.53,0.54,0.53,0.54,0.53,0.54,0.54,0.53,0.53,0.54
Win Month,0.57,0.59,0.58,0.59,0.56,0.58,0.58,0.59,0.6,0.6,0.56,0.61,0.63
Win Quarter,0.62,0.66,0.62,0.65,0.62,0.64,0.61,0.64,0.6,0.64,0.62,0.65,0.7
Win Year,0.65,0.65,0.69,0.65,0.62,0.65,0.65,0.65,0.62,0.65,0.65,0.69,0.77
